,flops,params,tokens,benchmark,metric_type,score,tpr
68,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@2,0,20.0
69,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@2_stderr,,20.0
70,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@32,0,20.0
71,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@32_stderr,,20.0
72,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@4,0,20.0
73,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@4_stderr,,20.0
74,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@64,0,20.0
75,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@64_stderr,,20.0
76,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@8,0,20.0
77,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@8_stderr,,20.0
78,1.9739956381483008e+18,122777600.0,2679635968.0,lambada_openai,acc,0.19250921793130216,20.0
79,1.9739956381483008e+18,122777600.0,2679635968.0,lambada_openai,acc_stderr,0.005492962376018814,20.0
81,1.9739956381483008e+18,122777600.0,2679635968.0,lambada_openai,perplexity,246.6664203249668,20.0
82,1.9739956381483008e+18,122777600.0,2679635968.0,lambada_openai,perplexity_stderr,11.868976332031238,20.0
84,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_assertionerror,0,20.0
85,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_assertionerror_stderr,,20.0
86,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_exception,13813,20.0
87,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_exception_stderr,,20.0
88,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_invalid_status,0,20.0
89,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_invalid_status_stderr,,20.0
90,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_ok,0,20.0
91,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_ok_stderr,,20.0
92,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_syntaxerror,18387,20.0
93,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,n_syntaxerror_stderr,,20.0
94,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@1,0,20.0
95,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@128,0,20.0
96,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@128_stderr,,20.0
97,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@16,0,20.0
98,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@16_stderr,,20.0
99,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@1_stderr,,20.0
100,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@2,0,20.0
101,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@2_stderr,,20.0
102,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@32,0,20.0
103,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@32_stderr,,20.0
104,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@4,0,20.0
105,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@4_stderr,,20.0
106,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@64,0,20.0
107,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@64_stderr,,20.0
108,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@8,0,20.0
109,1.9739956381483008e+18,122777600.0,2679635968.0,lbpp,pass@8_stderr,,20.0
111,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_assertionerror,0,20.0
112,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_assertionerror_stderr,,20.0
113,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_exception,31,20.0
114,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_exception_stderr,,20.0
115,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_invalid_status,0,20.0
116,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_invalid_status_stderr,,20.0
117,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_ok,0,20.0
118,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_ok_stderr,,20.0
119,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_syntaxerror,99969,20.0
120,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,n_syntaxerror_stderr,,20.0
121,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@1,0,20.0
122,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@128,0,20.0
123,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@128_stderr,,20.0
124,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@16,0,20.0
125,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@16_stderr,,20.0
126,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@1_stderr,,20.0
127,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@2,0,20.0
128,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@2_stderr,,20.0
129,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@32,0,20.0
130,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@32_stderr,,20.0
131,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@4,0,20.0
132,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@4_stderr,,20.0
133,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@64,0,20.0
134,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@64_stderr,,20.0
135,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@8,0,20.0
136,1.9739956381483008e+18,122777600.0,2679635968.0,mbpp,pass@8_stderr,,20.0
137,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-abstract_algebra,acc,0.26,20.0
138,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-abstract_algebra,acc_norm,0.26,20.0
139,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-abstract_algebra,acc_norm_stderr,0.044084400227680794,20.0
140,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-abstract_algebra,acc_stderr,0.044084400227680794,20.0
142,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-anatomy,acc,0.25925925925925924,20.0
